0,Date,Price,Open,High,Low,Volume,Chg%
1,"Dec 02, 2014",476.81,476.48,481.06,474.50,4.36M,0.11%
2,"Dec 01, 2014",476.29,489.86,491.32,474.77,8.02M,-3.02%
3,"Nov 28, 2014",491.14,490.20,503.90,486.98,9.64M,0.30%
4,"Nov 27, 2014",489.68,490.35,491.84,486.91,5.67M,0.16%
5,"Nov 26, 2014",488.89,491.32,491.84,486.69,6.07M,-0.60%
6,"Nov 25, 2014",491.84,487.92,492.78,482.08,6.74M,0.78%
7,"Nov 24, 2014",488.05,495.40,497.36,486.24,5.73M,-1.24%
8,"Nov 21, 2014",494.17,485.50,495.80,485.50,5.42M,1.73%
9,"Nov 20, 2014",485.77,484.41,487.23,480.59,5.23M,0.27%
10,"Nov 19, 2014",484.48,489.68,491.34,483.67,3.74M,-1.06%
11,"Nov 18, 2014",489.68,488.10,494.17,487.97,6.19M,0.35%
12,"Nov 17, 2014",487.97,478.46,489.14,478.46,4.72M,1.66%
13,"Nov 14, 2014",480.02,479.95,484.28,477.99,3.89M,-0.01%
14,"Nov 13, 2014",480.07,482.43,485.30,477.18,3.25M,-0.49%
15,"Nov 12, 2014",482.45,486.36,486.88,479.80,4.29M,-0.37%
16,"Nov 11, 2014",484.26,481.63,489.26,478.59,4.66M,0.86%
17,"Nov 10, 2014",480.12,486.79,490.25,479.08,4.84M,-1.14%
18,"Nov 07, 2014",485.65,490.57,493.00,484.43,5.37M,-1.09%
19,"Nov 05, 2014",491.00,496.30,499.52,489.56,7.26M,-1.10%
20,"Nov 03, 2014",496.47,497.29,499.76,490.43,5.71M,0.18%
21,"Oct 31, 2014",495.58,486.32,497.14,486.32,6.50M,2.18%
22,"Oct 30, 2014",485.03,469.55,486.17,469.10,15.11M,2.91%
23,"Oct 29, 2014",471.33,463.90,472.22,462.69,8.08M,1.88%
24,"Oct 28, 2014",462.64,466.13,466.58,458.70,10.16M,-0.78%
25,"Oct 27, 2014",466.26,477.45,477.45,464.00,4.65M,-1.19%
26,"Oct 23, 2014",471.88,470.29,472.77,470.04,1.14M,0.75%
27,"Oct 22, 2014",468.39,463.16,470.94,462.19,6.18M,1.76%
28,"Oct 21, 2014",460.31,462.74,464.10,459.20,8.13M,-0.61%
29,"Oct 20, 2014",463.13,464.84,465.88,451.50,9.78M,-0.31%
30,"Oct 17, 2014",464.55,463.61,465.91,458.26,7.07M,0.74%
31,"Oct 16, 2014",461.13,471.36,473.96,459.64,8.78M,-3.15%
32,"Oct 14, 2014",476.11,484.90,484.90,474.80,8.80M,0.35%
33,"Oct 13, 2014",474.45,476.38,477.85,469.57,6.41M,-0.29%
34,"Oct 10, 2014",475.81,469.05,479.95,463.66,7.14M,0.63%
35,"Oct 09, 2014",472.84,464.70,474.13,464.70,5.15M,1.92%
36,"Oct 08, 2014",463.95,456.25,466.33,456.25,4.54M,1.14%
37,"Oct 07, 2014",458.73,459.27,463.06,457.39,5.72M,-0.11%
38,"Oct 01, 2014",459.25,467.37,468.36,458.65,3.99M,-1.96%
39,"Sep 30, 2014",468.41,459.64,469.77,458.18,8.14M,1.35%
40,"Sep 29, 2014",462.19,464.08,466.92,460.44,5.76M,-0.01%
41,"Sep 26, 2014",462.24,460.14,466.40,454.34,7.34M,0.36%
42,"Sep 25, 2014",460.56,478.51,479.36,456.99,15.27M,-3.65%
43,"Sep 24, 2014",477.99,479.70,482.48,473.21,7.10M,-0.08%
44,"Sep 23, 2014",478.39,491.19,493.05,477.00,8.17M,-2.59%
45,"Sep 22, 2014",491.12,491.84,493.32,489.21,3.65M,-0.39%
46,"Sep 19, 2014",493.05,498.28,503.13,490.85,7.92M,-0.94%
47,"Sep 18, 2014",497.73,487.88,500.26,487.23,4.19M,1.64%
48,"Sep 17, 2014",489.68,487.83,490.62,484.88,5.02M,0.94%
49,"Sep 16, 2014",485.10,496.00,497.36,483.67,6.11M,-2.33%
50,"Sep 15, 2014",496.67,499.81,501.25,495.80,4.03M,-1.26%
51,"Sep 12, 2014",503.03,504.47,507.19,500.98,4.04M,-0.37%
52,"Sep 11, 2014",504.91,505.36,510.16,499.27,4.90M,0.35%
53,"Sep 10, 2014",503.16,509.25,509.72,501.55,4.37M,-1.66%
54,"Sep 09, 2014",511.65,511.20,515.76,509.27,4.23M,-0.45%
55,"Sep 08, 2014",513.98,512.10,514.80,509.17,6.41M,1.18%
56,"Sep 05, 2014",508.01,509.02,511.87,505.51,4.19M,-0.02%
57,"Sep 04, 2014",508.13,509.67,512.10,504.27,4.31M,-0.52%
58,"Sep 03, 2014",510.78,507.76,513.11,505.76,10.12M,0.73%
59,"Sep 02, 2014",507.09,504.47,510.93,500.56,7.64M,0.96%
60,"Sep 01, 2014",502.29,497.46,505.71,493.13,7.48M,1.54%
61,"Aug 28, 2014",494.66,492.63,497.29,492.63,7.34M,0.50%
62,"Aug 27, 2014",492.18,493.92,496.20,488.79,3.87M,0.03%
63,"Aug 26, 2014",492.01,493.32,493.79,486.88,4.41M,-0.25%
64,"Aug 25, 2014",493.22,495.31,499.52,492.06,3.44M,-0.25%
65,"Aug 22, 2014",494.46,495.35,498.77,492.98,3.96M,0.32%
66,"Aug 21, 2014",492.88,495.31,497.29,490.40,7.59M,-0.33%
67,"Aug 20, 2014",494.49,500.75,504.44,493.00,6.01M,-1.08%
68,"Aug 19, 2014",499.91,502.73,506.70,498.33,6.72M,-0.37%
69,"Aug 18, 2014",501.77,495.85,502.96,494.07,3.53M,1.01%
70,"Aug 14, 2014",496.77,492.83,497.78,491.22,5.57M,1.29%
71,"Aug 13, 2014",490.43,487.03,493.62,485.40,6.51M,0.58%
72,"Aug 12, 2014",487.58,488.37,488.84,483.59,4.41M,0.40%
73,"Aug 11, 2014",485.65,487.95,488.99,484.11,3.09M,0.00%
74,"Aug 08, 2014",485.65,485.18,487.13,481.98,4.21M,-0.89%
75,"Aug 07, 2014",490.01,489.86,493.67,487.06,5.00M,0.12%
76,"Aug 06, 2014",489.44,487.83,494.61,485.15,7.55M,0.44%
77,"Aug 05, 2014",487.31,487.92,489.29,480.94,5.65M,-0.12%
78,"Aug 04, 2014",487.88,485.89,490.20,483.44,6.77M,0.89%
79,"Aug 01, 2014",483.57,492.83,494.81,482.92,7.30M,-2.99%
80,"Jul 31, 2014",498.50,499.24,505.16,496.30,8.18M,0.03%
81,"Jul 30, 2014",498.35,497.29,500.75,491.84,8.59M,0.05%
82,"Jul 28, 2014",498.08,505.71,506.97,496.10,4.33M,-1.59%
83,"Jul 25, 2014",506.13,516.06,516.75,498.80,6.25M,-1.84%
84,"Jul 24, 2014",515.64,510.16,516.70,507.19,4.46M,0.76%
85,"Jul 23, 2014",511.77,512.67,515.02,505.73,6.33M,0.22%
86,"Jul 22, 2014",510.63,497.29,512.10,495.85,13.15M,3.34%
87,"Jul 21, 2014",494.14,495.31,499.27,492.85,7.84M,2.14%
88,"Jul 18, 2014",483.79,485.40,487.16,480.10,4.31M,-0.59%
89,"Jul 17, 2014",486.64,489.36,494.41,485.55,4.35M,-0.73%
90,"Jul 16, 2014",490.20,482.43,491.84,482.43,6.44M,1.80%
91,"Jul 15, 2014",481.54,477.18,485.40,477.00,7.08M,1.09%
92,"Jul 14, 2014",476.36,479.75,482.87,474.75,6.35M,-0.49%
93,"Jul 11, 2014",478.71,492.93,496.30,477.30,8.21M,-3.08%
94,"Jul 10, 2014",493.92,495.43,505.95,485.92,8.58M,-0.38%
95,"Jul 09, 2014",495.78,496.30,500.21,491.59,6.88M,0.59%
96,"Jul 08, 2014",492.85,508.18,512.39,490.35,8.07M,-3.13%
97,"Jul 07, 2014",508.78,511.65,513.63,505.71,6.47M,-0.46%
98,"Jul 04, 2014",511.13,497.78,513.53,496.94,5.98M,2.53%
99,"Jul 03, 2014",498.52,505.21,507.69,497.04,5.34M,-1.15%
100,"Jul 02, 2014",504.34,503.73,508.85,501.25,5.67M,1.02%
101,"Jul 01, 2014",499.27,503.82,505.48,498.75,4.45M,-0.73%
102,"Jun 30, 2014",502.93,501.52,505.21,495.31,9.53M,0.33%
103,"Jun 27, 2014",501.30,500.26,506.94,498.87,4.26M,0.02%
104,"Jun 26, 2014",501.20,507.69,508.63,498.62,11.30M,-3.72%
105,"Jun 25, 2014",520.57,523.86,524.70,519.15,4.88M,-0.83%
106,"Jun 24, 2014",524.95,517.59,526.41,517.59,5.49M,2.11%
107,"Jun 23, 2014",514.10,513.63,517.54,507.19,6.82M,0.14%
108,"Jun 20, 2014",513.38,518.04,519.77,512.27,5.93M,-0.54%
109,"Jun 19, 2014",516.16,531.96,532.43,510.96,10.67M,-2.31%
110,"Jun 18, 2014",528.37,538.89,545.65,525.35,8.87M,-2.14%
111,"Jun 17, 2014",539.91,524.08,541.52,524.08,7.30M,2.31%
112,"Jun 16, 2014",527.72,536.91,536.91,523.61,6.63M,-1.52%
113,"Jun 13, 2014",535.87,544.98,548.30,531.31,6.76M,-1.12%
114,"Jun 12, 2014",541.94,544.12,551.52,536.96,5.43M,-0.72%
115,"Jun 11, 2014",545.88,554.74,554.74,541.12,7.00M,-1.45%
116,"Jun 10, 2014",553.90,559.92,559.92,545.06,7.27M,-0.39%
117,"Jun 09, 2014",556.05,559.69,561.03,550.83,6.23M,0.02%
118,"Jun 06, 2014",555.93,548.50,561.18,546.87,13.53M,2.98%
119,"Jun 05, 2014",539.83,534.19,542.31,527.13,9.22M,1.15%
120,"Jun 04, 2014",533.69,541.20,545.73,533.07,4.07M,-1.63%
121,"Jun 03, 2014",542.56,536.56,545.83,533.62,5.02M,1.22%
122,"Jun 02, 2014",536.02,532.33,539.02,527.65,4.06M,1.64%
123,"May 30, 2014",527.35,537.41,539.73,525.02,7.98M,-0.82%
124,"May 29, 2014",531.73,541.12,541.57,529.16,12.76M,-1.41%
125,"May 28, 2014",539.34,539.68,548.10,537.28,5.24M,0.09%
126,"May 27, 2014",538.87,546.32,548.80,532.50,5.20M,-1.25%
127,"May 26, 2014",545.68,560.93,564.65,532.45,7.42M,-2.28%
128,"May 23, 2014",558.43,550.56,560.69,545.83,7.65M,2.42%
129,"May 22, 2014",545.23,537.90,551.47,537.26,8.65M,2.08%
130,"May 21, 2014",534.14,534.86,546.30,531.83,10.15M,-0.13%
131,"May 20, 2014",534.86,558.65,559.20,532.80,10.39M,-3.59%
132,"May 19, 2014",554.77,540.38,557.09,538.35,10.98M,3.78%
133,"May 16, 2014",534.56,539.93,567.25,526.06,24.29M,2.46%
134,"May 15, 2014",521.75,517.84,525.02,514.75,9.63M,0.76%
135,"May 14, 2014",517.84,527.00,528.99,515.66,8.94M,-1.68%
136,"May 13, 2014",526.71,515.12,529.38,512.39,12.40M,3.37%
137,"May 12, 2014",509.52,492.78,519.57,492.38,14.24M,3.12%
138,"May 09, 2014",494.12,473.41,494.81,473.41,8.52M,3.89%
