0,Date,Price,Open,High,Low,Volume,Chg%
1,"Sep 24, 2023","2,345.00","2,350.40","2,383.00","2,325.00",31.46M,-0.42%
2,"Sep 17, 2023","2,354.95","2,440.05","2,451.00","2,350.00",48.00M,-4.19%
3,"Sep 10, 2023","2,457.85","2,452.00","2,483.00","2,426.25",38.50M,0.39%
4,"Sep 03, 2023","2,448.20","2,412.65","2,456.00","2,405.30",31.49M,1.47%
5,"Aug 27, 2023","2,412.65","2,472.00","2,484.00","2,399.90",40.69M,-2.26%
6,"Aug 20, 2023","2,468.35","2,539.95","2,555.45","2,442.60",31.41M,-3.46%
7,"Aug 13, 2023","2,556.80","2,539.00","2,582.80","2,508.55",26.05M,0.38%
8,"Aug 06, 2023","2,547.15","2,521.00","2,558.85","2,481.10",32.48M,1.50%
9,"Jul 30, 2023","2,509.55","2,527.85","2,559.00","2,458.05",31.94M,-0.72%
10,"Jul 23, 2023","2,527.85","2,481.00","2,547.00","2,469.30",43.36M,-0.43%
11,"Jul 16, 2023","2,538.75","2,493.89","2,630.95","2,476.64",74.73M,-7.37%
12,"Jul 09, 2023","2,740.70","2,688.90","2,802.00","2,675.00",47.00M,4.07%
13,"Jul 02, 2023","2,633.60","2,558.05","2,664.95","2,555.35",29.05M,3.27%
14,"Jun 25, 2023","2,550.25","2,507.00","2,556.65","2,486.65",20.69M,1.41%
15,"Jun 18, 2023","2,514.75","2,584.00","2,584.00","2,512.00",16.12M,-2.43%
16,"Jun 11, 2023","2,577.40","2,478.65","2,582.40","2,465.40",11.16M,3.85%
17,"Jun 04, 2023","2,481.95","2,467.20","2,516.85","2,458.45",21.53M,1.09%
18,"May 28, 2023","2,455.20","2,521.00","2,537.70","2,451.00",36.39M,-2.05%
19,"May 21, 2023","2,506.50","2,435.00","2,509.00","2,416.05",21.12M,2.64%
20,"May 14, 2023","2,441.95","2,489.90","2,504.55","2,418.85",19.81M,-1.71%
21,"May 07, 2023","2,484.35","2,450.00","2,509.50","2,444.15",20.31M,1.74%
22,"Apr 30, 2023","2,441.75","2,436.20","2,461.35","2,413.05",17.27M,0.88%
23,"Apr 23, 2023","2,420.50","2,375.00","2,423.90","2,348.00",25.62M,3.04%
24,"Apr 16, 2023","2,349.00","2,424.95","2,424.95","2,326.00",25.50M,-0.28%
25,"Apr 09, 2023","2,355.50","2,350.00","2,367.80","2,321.55",24.95M,0.60%
26,"Apr 02, 2023","2,341.45","2,345.00","2,354.00","2,308.55",20.76M,0.45%
27,"Mar 26, 2023","2,331.05","2,217.50","2,343.45","2,200.20",33.97M,5.80%
28,"Mar 19, 2023","2,203.30","2,215.00","2,291.45","2,180.00",37.14M,-0.89%
29,"Mar 12, 2023","2,223.10","2,329.00","2,344.00","2,202.20",47.49M,-4.29%
30,"Mar 05, 2023","2,322.70","2,400.00","2,424.60","2,315.05",25.62M,-2.63%
31,"Feb 26, 2023","2,385.40","2,382.00","2,393.45","2,313.65",31.72M,0.07%
32,"Feb 19, 2023","2,383.70","2,445.00","2,449.75","2,361.35",24.21M,-2.32%
33,"Feb 12, 2023","2,440.20","2,340.20","2,463.80","2,313.55",40.27M,4.43%
34,"Feb 05, 2023","2,336.65","2,315.00","2,370.85","2,293.00",34.66M,0.33%
35,"Jan 29, 2023","2,329.00","2,331.70","2,387.65","2,293.00",47.15M,-0.36%
36,"Jan 22, 2023","2,337.35","2,449.00","2,466.20","2,311.65",30.30M,-4.31%
37,"Jan 15, 2023","2,442.65","2,472.70","2,491.10","2,427.00",29.86M,-1.01%
38,"Jan 08, 2023","2,467.60","2,545.30","2,606.00","2,434.60",31.65M,-2.73%
39,"Jan 01, 2023","2,536.90","2,550.00","2,579.00","2,504.00",19.49M,-0.40%
40,"Dec 25, 2022","2,547.20","2,514.75","2,577.00","2,492.40",15.43M,1.80%
41,"Dec 18, 2022","2,502.20","2,581.00","2,633.00","2,492.25",19.12M,-2.47%
42,"Dec 11, 2022","2,565.60","2,585.50","2,638.95","2,558.15",22.89M,-1.67%
43,"Dec 04, 2022","2,609.10","2,712.00","2,716.75","2,601.85",24.14M,-4.15%
44,"Nov 27, 2022","2,722.15","2,608.90","2,755.00","2,502.00",41.46M,3.99%
45,"Nov 20, 2022","2,617.60","2,588.00","2,624.90","2,536.50",16.69M,0.77%
46,"Nov 13, 2022","2,597.65","2,630.75","2,642.00","2,571.10",17.45M,-1.30%
47,"Nov 06, 2022","2,631.80","2,591.00","2,636.00","2,563.00",19.07M,1.51%
48,"Oct 30, 2022","2,592.75","2,541.00","2,600.00","2,508.00",25.21M,2.64%
49,"Oct 23, 2022","2,526.15","2,460.00","2,535.00","2,432.80",21.10M,2.21%
50,"Oct 16, 2022","2,471.60","2,355.00","2,527.85","2,343.60",30.16M,4.26%
51,"Oct 09, 2022","2,370.70","2,405.00","2,417.60","2,343.10",18.18M,-2.53%
52,"Oct 02, 2022","2,432.35","2,391.50","2,450.00","2,363.00",19.32M,2.30%
53,"Sep 25, 2022","2,377.75","2,394.05","2,426.00","2,311.00",36.42M,-2.53%
54,"Sep 18, 2022","2,439.50","2,499.20","2,537.70","2,436.10",20.78M,-2.39%
55,"Sep 11, 2022","2,499.20","2,570.55","2,629.70","2,491.00",25.65M,-2.73%
56,"Sep 04, 2022","2,569.30","2,531.00","2,610.00","2,531.00",20.81M,1.53%
57,"Aug 28, 2022","2,530.50","2,585.00","2,655.00","2,525.70",35.02M,-3.34%
58,"Aug 21, 2022","2,618.00","2,617.00","2,670.00","2,586.00",22.21M,0.16%
59,"Aug 14, 2022","2,613.85","2,646.20","2,676.90","2,604.95",13.88M,-0.73%
60,"Aug 07, 2022","2,633.00","2,531.00","2,641.35","2,531.00",19.26M,3.91%
61,"Jul 31, 2022","2,534.00","2,519.15","2,617.75","2,507.60",33.36M,0.98%
