,0,1
0,148.83,5.0
1,147.86,5.984306335449219e-05
2,143.26,5.8531761169433594e-05
3,144.64,6.145238876342773e-05
4,139.09,
5,145.86,
6,149.18,0.0005709528923034668
7,154.94,6.389617919921875e-05
8,158.04,5.704164505004883e-05 5.7756900787353516e-05
9,157.43,6.866455078125e-05
10,161.92,5.728006362915039e-05 5.453824996948242e-05
11,159.30,6.103515625e-05
12,158.09,6.031990051269531e-05 5.3763389587402344e-05
13,166.79,7.599592208862305e-05
14,172.68,0.0016415715217590332
15,166.01,
16,174.40,
17,173.02,0.013477742671966553
18,172.51,
19,178.21,5.4001808166503906e-05 6.473064422607422e-05
20,171.66,5.882978439331055e-05 6.759166717529297e-05
21,174.06,
22,177.26,0.00031569600105285645 5.608797073364258e-05
23,181.15,6.282329559326172e-05
24,191.94,0.0005790293216705322
25,193.71,5.882978439331055e-05
26,196.97,
27,206.41,6.669759750366211e-05 6.079673767089844e-05
28,209.64,5.7816505432128906e-05 5.745887756347656e-05
29,241.45,7.212162017822266e-05 5.59687614440918e-05 5.7578086853027344e-05
30,249.86,5.6862831115722656e-05 5.930662155151367e-05
31,272.23,0.008369535207748413 0.9987174272537231 5.906820297241211e-05
32,264.21,6.967782974243164e-05 6.41942024230957e-05
33,242.23,7.969141006469727e-05
34,237.37,5.5849552154541016e-05
35,237.28,5.4955482482910156e-05
36,228.52,5.5909156799316406e-05
37,228.24,0.0001398622989654541
38,250.60,6.282329559326172e-05
39,262.47,6.42538070678711e-05 5.793571472167969e-05 6.854534149169922e-05
40,255.48,
41,264.77,6.538629531860352e-05
42,239.62,0.09426632523536682
43,242.46,
44,239.68,5.6684017181396484e-05
45,250.38,5.9604644775390625e-05 0.9943278431892395 0.020422041416168213
46,261.50,6.324052810668945e-05
47,275.06,5.894899368286133e-05
48,277.99,6.395578384399414e-05
49,280.05,8.45789909362793e-05
50,282.47,
51,286.29,
52,290.19,5.358457565307617e-05
53,287.98,7.981061935424805e-05 5.632638931274414e-05
54,294.88,6.139278411865234e-05 8.130073547363281e-05
55,298.06,5.8650970458984375e-05 5.817413330078125e-05
56,302.80,7.265806198120117e-05 6.92605972290039e-05
57,318.90,0.00018215179443359375 0.00018036365509033203
58,318.31,6.276369094848633e-05 5.942583084106445e-05
59,311.86,
60,312.62,0.00011947751045227051
61,312.30,5.4895877838134766e-05 6.026029586791992e-05
62,314.31,5.453824996948242e-05
63,310.48,5.620718002319336e-05 0.00020328164100646973 0.9996218681335449
64,315.15,6.473064422607422e-05 7.295608520507812e-05
65,314.56,5.412101745605469e-05
66,319.01,8.26120376586914e-05 5.84721565246582e-05
67,331.73,0.998611330986023
68,342.44,0.02338138222694397 6.22868537902832e-05 0.010426729917526245 6.002187728881836e-05
69,339.43,0.99941086769104 6.574392318725586e-05
70,340.53,6.026029586791992e-05
71,344.68,6.586313247680664e-05 5.364418029785156e-05
72,348.43,5.53131103515625e-05
73,349.99,0.008493393659591675 0.9962314963340759
74,325.96,
75,326.46,6.175041198730469e-05
76,321.99,0.00024080276489257812
77,340.78,0.0001335442066192627
78,339.36,0.2412293553352356 6.490945816040039e-05 6.455183029174805e-05
79,336.52,0.01929721236228943 5.620718002319336e-05
80,349.67,0.006222277879714966 5.888938903808594e-05 5.8650970458984375e-05
81,381.74,5.8531761169433594e-05
82,381.19,7.337331771850586e-05 5.6624412536621094e-05
83,392.07,6.0677528381347656e-05 5.84721565246582e-05
84,393.54,0.007443606853485107 6.192922592163086e-05
85,420.63,5.358457565307617e-05 6.276369094848633e-05 5.8770179748535156e-05
86,427.96,0.18441849946975708 0.020996034145355225
87,433.70,0.00018078088760375977
88,410.37,8.07046890258789e-05
89,416.53,6.252527236938477e-05 6.74128532409668e-05 6.705522537231445e-05 0.0002675950527191162
90,422.27,0.00019600987434387207 7.897615432739258e-05 0.0009941458702087402 0.00010791420936584473 7.557868957519531e-05
91,421.15,6.687641143798828e-05
92,423.46,0.00010755658149719238 7.981061935424805e-05
93,439.10,5.555152893066406e-05 6.687641143798828e-05
94,468.60,0.00013193488121032715 6.383657455444336e-05 5.3882598876953125e-05 6.288290023803711e-05 5.4001808166503906e-05
95,462.49,5.900859832763672e-05 5.4895877838134766e-05 5.5909156799316406e-05 5.412101745605469e-05 6.192922592163086e-05 5.6743621826171875e-05 0.990741491317749 6.252527236938477e-05 5.501508712768555e-05 7.510185241699219e-05
96,446.06,5.6684017181396484e-05 5.882978439331055e-05 6.479024887084961e-05 6.985664367675781e-05 0.0001798868179321289
97,448.02,6.979703903198242e-05 5.8770179748535156e-05 7.808208465576172e-05 7.289648056030273e-05
98,434.11,5.513429641723633e-05 0.006197154521942139 5.799531936645508e-05 6.264448165893555e-05
99,439.92,5.4836273193359375e-05 6.020069122314453e-05 0.18236348032951355
100,485.62,5.632638931274414e-05 6.115436553955078e-05 5.555152893066406e-05 0.9842463731765747 6.300210952758789e-05
101,486.12,0.01745980978012085 0.576917290687561 5.918741226196289e-05 5.4836273193359375e-05 6.55055046081543e-05 0.23231709003448486 5.906820297241211e-05
102,503.91,6.318092346191406e-05 5.91278076171875e-05 5.9545040130615234e-05 6.276369094848633e-05 8.33272933959961e-05 7.599592208862305e-05 6.16312026977539e-05
103,564.76,5.3822994232177734e-05 0.00010976195335388184 5.698204040527344e-05 6.967782974243164e-05 5.65648078918457e-05 6.073713302612305e-05 6.568431854248047e-05
104,569.12,5.805492401123047e-05 5.453824996948242e-05 7.76052474975586e-05 6.890296936035156e-05
105,617.27,5.8770179748535156e-05 6.091594696044922e-05 7.396936416625977e-05 0.00040480494499206543 0.04828941822052002
106,635.41,5.3822994232177734e-05 5.555152893066406e-05 0.06752321124076843 0.999704897403717
107,611.53,6.80685043334961e-05 5.8770179748535156e-05 0.47771507501602173
108,668.24,7.784366607666016e-05 0.0005290806293487549 5.555152893066406e-05 6.145238876342773e-05 7.003545761108398e-05
109,671.96,5.632638931274414e-05 5.614757537841797e-05 0.0003497004508972168 6.502866744995117e-05 0.0020933449268341064
110,677.18,0.00024509429931640625 0.0016445517539978027 6.16908073425293e-05 6.186962127685547e-05 5.930662155151367e-05 5.614757537841797e-05 7.671117782592773e-05 5.561113357543945e-05 5.7697296142578125e-05
111,713.65,6.306171417236328e-05 7.355213165283203e-05 0.8531017899513245
112,696.20,0.025499582290649414 6.240606307983398e-05 0.0003465414047241211 9.229779243469238e-05
113,706.22,5.561113357543945e-05 7.599592208862305e-05 0.021316468715667725 5.59687614440918e-05 5.453824996948242e-05 5.525350570678711e-05 6.788969039916992e-05 0.018346965312957764 5.9545040130615234e-05
114,703.69,5.990266799926758e-05 5.8591365814208984e-05 7.361173629760742e-05 5.5670738220214844e-05 0.0003414154052734375 5.626678466796875e-05 6.026029586791992e-05 7.861852645874023e-05 5.805492401123047e-05 0.00015592575073242188
115,715.38,0.15010088682174683 6.42538070678711e-05 5.40614128112793e-05 0.20273369550704956 5.65648078918457e-05
116,672.04,9.366869926452637e-05 8.052587509155273e-05 9.462237358093262e-05 6.347894668579102e-05 6.645917892456055e-05 6.651878356933594e-05 6.443262100219727e-05
117,716.92,0.9995444416999817 5.40614128112793e-05 5.9485435485839844e-05
118,741.22,6.99162483215332e-05 0.03901413083076477 0.0002662241458892822 7.063150405883789e-05 0.00015348196029663086
119,774.56,0.00017899274826049805 0.9205218553543091
120,693.33,5.644559860229492e-05 6.842613220214844e-05 7.170438766479492e-05 5.5849552154541016e-05 5.418062210083008e-05 0.000126570463180542 0.002130746841430664 0.00029391050338745117 5.447864532470703e-05 0.0001303255558013916 0.9996377229690552 6.151199340820312e-05 7.855892181396484e-05
121,647.71,9.974837303161621e-05 0.04601040482521057
122,629.72,0.0116519033908844 5.9723854064941406e-05 5.7697296142578125e-05 6.693601608276367e-05 0.0010702311992645264 5.996227264404297e-05 0.0005366504192352295
123,600.90,0.0001329481601715088 6.145238876342773e-05 8.308887481689453e-05 0.005023002624511719 6.264448165893555e-05 0.0007772147655487061 7.408857345581055e-05
124,642.40,6.651878356933594e-05 5.644559860229492e-05 0.8949629068374634
125,602.90,0.0007204115390777588 5.555152893066406e-05 6.395578384399414e-05 0.00011357665061950684 5.525350570678711e-05 5.5670738220214844e-05 0.00015467405319213867 8.165836334228516e-05
126,610.08,0.00015205144882202148 6.753206253051758e-05 0.0003186166286468506 5.608797073364258e-05 0.004946619272232056 5.555152893066406e-05 9.426474571228027e-05 0.23926150798797607 7.50422477722168e-05
127,556.78,6.860494613647461e-05 0.00011232495307922363 0.022877246141433716
128,575.20,5.036592483520508e-05 0.0003229081630706787 5.936622619628906e-05 7.808208465576172e-05 8.034706115722656e-05 5.4776668548583984e-05 7.969141006469727e-05
129,534.71,5.7220458984375e-05 8.088350296020508e-05 6.407499313354492e-05 6.669759750366211e-05 0.03567323088645935 0.00019857287406921387
130,582.59,5.829334259033203e-05 5.698204040527344e-05 5.751848220825195e-05 6.639957427978516e-05 6.723403930664062e-05 0.004054009914398193 0.00012156367301940918 0.00011971592903137207
131,574.84,6.097555160522461e-05 0.004695475101470947
132,631.90,5.4717063903808594e-05 0.051036328077316284 6.16312026977539e-05 0.1344263255596161 5.8531761169433594e-05 6.61611557006836e-05
133,653.81,6.0677528381347656e-05 0.0004565119743347168
134,649.96,0.09884336590766907 6.002187728881836e-05 6.502866744995117e-05 0.00020894408226013184 5.823373794555664e-05 0.00015527009963989258
135,662.41,0.05050092935562134 5.751848220825195e-05 5.441904067993164e-05 0.00010433793067932129 6.508827209472656e-05 5.829334259033203e-05
136,626.16,0.18346276879310608 7.808208465576172e-05 5.59687614440918e-05 5.78761100769043e-05 5.805492401123047e-05 5.710124969482422e-05 0.9922566413879395 0.11203521490097046 0.00038176774978637695 8.207559585571289e-05
